19th-century gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century German culture,19th century German book illustration and book history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century German literature,18th and 19th century German literature,19 and 20th century German literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century Latin American culture,19th and 20th Century Latin American Literature and Cultural Studies,19th century Latin America,Latin American Literature and Culture of the Nineteenth Century,Nineteenth-century Latin American literature and cultural studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century Latin American literature,19th and 20th Century Latin American Literature,19th and 20th Century Latin American Literature and Cultural Studies,19th Century Latin American Literature,19th century Latin American literature,Nineteenth-century Latin American literature and cultural studies,,19th century Latin American prose,Latin American Literature and Culture of the Nineteenth Century,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century literature,19th century,19th Century,19th century literature,Late eighteenth and early nineteenth century literature,,The long 19th Century (Romanticism,Long 18th century Literature and Culture,Long 19th Century,Nineteenth Century Literature,Nineteenth and twentieth century literature,Nineteenth-century literature and science,XIX Century Literature,,,,,,,,,,,,,,,,,,,,,,
19th-century novel,19th century Novel,Nineteenth-century novel,eighteenth-century and early nineteenth-century novel,,Nineteenth-century novels and poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century Peninsular culture,Nineteenth-century Peninsular literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century Peninsular literature,19th and 20th century Peninsular literature,19th–21st Century Peninsular Literature,19th century Spanish narrative,Nineteenth-century Peninsular literature and culture,!9thcentury Spanish literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century poetry,19th and 20th century poetry and drama in English,Nineteenth-century novels and poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century science,19th science,Nineteenth-century literature and science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century social history,Ninteenth-century social history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century Spanish women writers,18th-19th century Spanish women writers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century studies,18th-19th C cultures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century theater,Nineteenth-century theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century visual culture studies,Nineteenth-century visual culture studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th-century women writers,Late Nineteenth and Twentieth-Century Women Writers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century and 21st-century British literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century African American literature,19th to early 20th century African American and Caribbean literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century American culture,19C-20C American literature and culture,19th and 20th century American literature,19th and 20th Century literature (American,late 19th and early 20th century American literature and culture,late 19th-century American culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century American literature,19C-20C American literature and culture,19th and 20th century American literature,19th and 20thcentury American literature,19th and early 20th century American lit,Late nineteenth and early twentieth century American literature,,20c American Lit,20c and 21c American literature,20th and 21st American Lit,20th Century American Literature,20th century American literature,20th century American Literature,20th Century British and American Literature,20th and 21st American Lit,c20 American Lit,American lit from 1880,Late nineteenth century and twentieth century American literature,Nineteen and twentieth-century American literature,Nineteenth and early-twentieth century American literature,Nineteenth and Twentieth century American literature,nineteenth and twentieth-century American literature,,Twentieth Century American Literature,twentieth-century American literature,Twentieth-century American literature,Twentieth-century American and Chicana/o Literature,Twentieth and twenty-first-century American literature,,,,,,,
20th-century American novel,American Fiction (Postbellum WWII),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century American poetry,Twentieth-century American Poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century anglophone literature,19th–21st century Anglophone literatures (Victorian,20th/ 21st C British and Anglophone Literatures,Twentieth century global literatures in English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century British literature,19th and 20th century British and Anglophone literature,20th century British literature,20th century British,20th Century British and American Literature,Twentieth and twenty-first century Irish and British Lit,Twentieth and twenty-first-century British literature,20th C British literature,20th/ 21st C British and Anglophone Literatures,20th and 21st century British literature,20th Century Irish and British Literature,Twentieth century British literature,Twentieth-century British fiction,Twentieth-century British literature,,,,,,,,,,,,,,,,,,,,,
20th-century Caribbean literature,19th to early 20th century African American and Caribbean literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Chicana/o literature,Twentieth-century American and Chicana/o Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century culture,Twenteeth Century Literature and Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century fantastic literature,20th-21st Century Fantastic Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century francophone literature,20th/21st century French/Francophone literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century francophone theater,20th Century and Contemporary French and Francophone theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century French literature,19th and 20th century French literature,20th/21st century French/Francophone literature,20th century French literature,Twentieth Century French Literature,Nintennth and Twenteeth Century French Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century French philosophy,20th–21st century French philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century French studies,French Studies  20th and 21st Century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century French theater,20th Century and Contemporary French and Francophone theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century German culture,20th and 21st century German literature and culture,20th century German literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century German literature,19 and 20th century German literature,20th and 21st century German literature and culture,20th century German literature,20th century German literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century German lyric poetry,Twentieth-century German lyric poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Hebrew autobiography,Hebrew autobiography in the 20th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Irish literature,20th Century Irish and British Literature,Twentieth and twenty-first century Irish and British Lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Italian literature,Twentieth-century Italian Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Latin American culture,19th and 20th Century Latin American Literature and Cultural Studies,20th and 21st century Latin American literary and cultural studies,20th/21st century American studies,20th and 21st century Latin American literary and cultural studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Latin American literature,19th and 20th Century Latin American Literature and Cultural Studies,20th and 21st century Latin American literary and cultural studies,20th–21st Century Latin American Narrative,20th century Latin American literature,Contemporary Literature from Latin America,Twentieth-century Latin American literature,20th and 21st Century Literature of the Americas,20th and 21st century Latin American literary and cultural studies,20th and 21st century Latin American,20th and 21st centuries Latin American Literature with a focus on Mexico and Central America,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Latin American poetry,Poesía latinoamericana de los siglos XX y XXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Latina/o literature,Twentieth-century Latina/o literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century literature,20th21st C literature,20th21st C literature,20th Century Literature,20th century literature,Nineteenth and twentieth century literature,Twenteeth Century Literature and Culture,20th and 21st Century Literature,twentieth and twenty-first-century literature,Twentieth Century Fiction,Twentieth-century and contemporary literature,,,,,,,,,,,,,,,,,,,,,,,,
20th-century media studies,20th/21stcentury textual and media studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century Peninsular literature,19th and 20th century Peninsular literature,20th/21st Century Spanish Literature,20th21st Century Peninsular Narrative,20th21st century Spanish-language literature,,,20th Century Spanish and Catalan literature and culture,19th–21st Century Peninsular Literature,2021C Peninsular Literature,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century poetics,20th Century Poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century poetry,20th Century Poetry,20C and 21C American poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century postcolonial literature,20th/21st C postcolonial and transnational literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century textual studies,20th/21stcentury textual and media studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century transnational literature,20th/21st C postcolonial and transnational literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century women writers,Late Nineteenth and Twentieth-Century Women Writers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century women’s literature,Latin American and Spanish Literature with a focus on twentieth and twenty-first century Women’s Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th-century world literature,Twentieth-century World Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century American culture,20th/21st century American studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century American film,Contemporary American Fiction and Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century American genre fiction,contemporary American genre fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century American literature,20c and 21c American literature,20th and 21st American Lit,20th and 21st American Lit,21st century American literature,Contemporary American Fiction and Film,Twentieth and twenty-first-century American literature,Contemporary American literature,contemporary American fiction,Contemporary American fiction,Contemporary American Literature,Contemporary US fiction,Modern to contemporary American literature,,,,,,,,,,,,,,,,,,,,,,
21st-century anglophone literature,20th/ 21st C British and Anglophone Literatures,contemporary American and Anglophone fiction,19th–21st century Anglophone literatures (Victorian,21st century Anglophone literature (Africa,contemporary anglophone literatures,,Contemporary literatures in English,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century anglophone poetry,Contemporary Anglophone poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century British drama,Contemporary British Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century British literature,20th/ 21st C British and Anglophone Literatures,20th and 21st century British literature,Contemporary British Fiction,contemporary British Literature,Contemporary British and Postcolonial Prose Fiction,Twentieth and twenty-first century Irish and British Lit,Contemporary British Fiction,Twentieth and twenty-first-century British literature,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Catalan culture,Contemporary Catalan and Spanish Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Chinese literature,early Chinese thought and contemporary Chinese fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century culture,the 21st century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century digital culture,contemporary digital culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century digital visual art,contemporary digital visual art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century fantastic literature,20th-21st Century Fantastic Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century francophone literature,20th/21st century French/Francophone literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century francophone theater,20th Century and Contemporary French and Francophone theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French culture,Contemporary French Literature and Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French literature,20th/21st century French/Francophone literature,Contemporary French and Quebec literatures,Contemporary French fiction,Contemporary French Literature and Culture,Twenty-First Century French Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French philosophy,20th–21st century French philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French poetry,Contemporary French Poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French studies,French Studies  20th and 21st Century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century French theater,20th Century and Contemporary French and Francophone theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century German culture,20th and 21st century German literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century German literature,20th and 21st century German literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Irish literature,Contemporary Irish Literature,Twentieth and twenty-first century Irish and British Lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Latin American cinema,Contemporary Latin American Literature and Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Latin American culture,20th and 21st century Latin American literary and cultural studies,Contemporary Latin American Literature and Culture,Contemporary Latin American Literature and Cinema,,,,Contemporary Latin American and Mexican lit,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Latin American literature,20th–21st Century Latin American Narrative,20th and 21st Century Literature of the Americas,20th and 21st century Latin American,20th and 21st centuries Latin American Literature with a focus on Mexico and Central America,,,Contemporary Latin American and US Latino/a narrative,20th and 21st century Latin American literary and cultural studies,Contemporary Latin American and Mexican lit,Contemporary Latin American and US Latino/a narrative,Contemporary Latin American fiction,Contemporary Latin American Literature,Contemporary Latin American Literature and Cinema,Contemporary Latin American Literature and Culture,Latin American modern and contemporary literatures,twenty-first century Latin American and Latino literatures,,,,,,,,,,,,,,,,,,
21st-century Latin American poetry,Poesía latinoamericana de los siglos XX y XXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Latina/o literature,twenty-first century Latin American and Latino literatures,Contemporary Latin American and US Latino/a narrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century literature,20th21st C literature,21st Century,20th and 21st Century Literature,Contemporary fiction,Contemporary and postcolonial fiction,twentieth and twenty-first-century literature,Twentieth-century and contemporary literature,Contemp Lit,Contemporary literature,Contemporary Literature,Contemporay Literature,,,,,,,,,,,,,,,,,,,,,,,
21st-century media studies,20th/21st-century textual and media studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Mexican culture,Contemporary Mexican literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Mexican literature,Contemporary Latin American and Mexican lit,Contemporary Mexican literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century peninsular culture,contemporary Peninsular Spanish Literature and Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century peninsular literature,19th–21st Century Peninsular Literature,2021C Peninsular Literature,20th/21st Century Spanish Literature,20th21st century Spanish-language literature,Contemporary Peninsular literature,,contemporary Peninsular Spanish Literature and Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century poetics,Contemporary poetry and poetics,Contemporary poetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century poetry,20C and 21C American poetry,Contemporary poetry,Contemporary poetry and poetics,contemporary poetry,Contemporary Poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century postcolonial literature,20th/21st C postcolonial and transnational literature,Contemporary and postcolonial fiction,Contemporary British and Postcolonial Prose Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Quebecois literature,Contemporary French and Quebec literatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Spanish cinema,Contemporary Spanish film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Spanish culture,Contemporary Catalan and Spanish Culture,Contemporary Spanish Literature and Culture,Contemporary Spanish Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century Spanish literature,Contemporary Spanish literature,Contemporary Spanish Literature,Contemporary Spanish fiction,Contemporary Spanish Literature and Culture,Spanish contemporary literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century textual studies,20th/21st-century textual and media studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century transnational literature,20th/21st C postcolonial and transnational literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st-century women’s literature,Latin American and Spanish Literature with a focus on twentieth and twenty-first century Women’s Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A New Variorum Edition of Shakespeare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic labor,academic labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic writing,academic writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition of phonetics and phonology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acting,acting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjunct activism,Adjunct Activism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advocacy,Advocacy and Activism in the Profession,Advocacy for the Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesthetics,aesthetics,aesthetics of Medieval and Early Modern poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affect,affect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American cultural studies,African American Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American culture,African American literature and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American knowledge production,African-American knowledge production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American literature,African American Lirerature,African American Literature,African  American Literature,African American and Southeast Asian Literatures,,,African American and African Diaspora Literature,African American Literature (19thCpresent),African American literature and culture,African American Rhetoric and Literature,American and African American literature,,,,,,,,,,,,,,,,,,,,,,,
African American political economy,African American Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American rhetoric,African American Rhetoric and Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American studies,African American Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African cinema,African literature and films,African cinemas: representation of women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African diaspora literature,African American and African Diaspora Literature,African diaspora literature,literatures of the African Diaspora in the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African-language literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African literatures,African Literatures,African literature and films,African literature,African Literature and New Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African studies,African Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African women’s cinema,African Women's Literature and Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African women’s literature,African Women's Literature and Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africana studies,Africana Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro-Hispanic studies,Afro-Hispanic Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro-Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro-Latino religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro-futurism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age studies,age studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemy,alchemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred the Great,Alfred the Great and his circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadís de Gaula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
